 B1, B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20
1272,1276,2572,0.336798,1106,1082,1864,0.265445,831,665,2469,0.575622,720,534,3452,0.732062,776,531,3008,0.699915
1467,1635,2114,0.127767,1742,1872,2474,0.138518,938,866,1990,0.393557,708,551,3586,0.733623,765,522,2952,0.699482
1478,1635,2100,0.124498,1672,1838,2486,0.149861,933,858,1997,0.398949,703,546,3548,0.733268,759,520,2952,0.700461
1462,1617,2095,0.128772,1672,1838,2486,0.149861,933,842,2009,0.40933,693,540,3470,0.730673,745,513,2979,0.706186
1446,1598,2091,0.133641,1672,1838,2486,0.149861,933,826,2022,0.419944,684,539,3413,0.727227,732,506,3006,0.711845
1430,1580,2086,0.138025,1672,1838,2486,0.149861,932,812,2027,0.427968,679,548,3383,0.721191,726,505,3033,0.714528
1431,1585,2097,0.139055,1512,1606,2658,0.246717,932,803,2015,0.430092,679,561,3393,0.716237,737,515,3061,0.711969
1432,1589,2108,0.140384,1512,1606,2658,0.246717,931,793,2004,0.432964,680,561,3453,0.720478,749,525,3089,0.709463
1433,1594,2119,0.141395,1512,1606,2658,0.246717,930,783,1993,0.435879,675,545,3461,0.727908,760,534,3118,0.707557
1433,1583,2149,0.151661,1422,1436,2876,0.333952,923,795,2004,0.43194,671,541,3428,0.727387,760,556,3066,0.692987
1434,1564,2190,0.166755,1422,1436,2876,0.333952,916,807,2016,0.428268,672,535,3415,0.729114,761,578,3013,0.678084
1434,1545,2230,0.181457,1422,1436,2876,0.333952,909,818,2027,0.424956,676,546,3410,0.723964,762,600,2961,0.663016
1428,1526,2275,0.197053,1124,1130,2964,0.447973,909,813,2085,0.438923,687,550,3408,0.722082,768,605,2939,0.658578
1408,1506,2328,0.214397,1124,1130,2964,0.447973,913,800,2166,0.460553,699,555,3394,0.718916,778,600,2932,0.660249
1387,1487,2381,0.231127,1124,1130,2964,0.447973,917,786,2248,0.481872,706,557,3380,0.717043,787,596,2925,0.66146
1367,1467,2434,0.247885,1124,1130,2964,0.447973,920,774,2317,0.499191,706,558,3370,0.715886,789,589,2929,0.665151
1360,1454,2455,0.256076,1126,1032,3187,0.510785,920,764,2362,0.511196,705,560,3360,0.714286,777,576,2955,0.673747
1352,1441,2476,0.264233,1126,1032,3187,0.510785,921,753,2407,0.523418,703,556,3350,0.71531,765,563,2981,0.68228
1344,1428,2497,0.272357,1126,1032,3187,0.510785,921,743,2452,0.534898,699,546,3342,0.719136,753,550,3007,0.690751
1340,1403,2522,0.285096,989,821,3308,0.602325,904,737,2485,0.54252,698,542,3352,0.721623,758,555,2998,0.687588
1336,1373,2548,0.299668,989,821,3308,0.602325,887,731,2518,0.550015,705,545,3389,0.722928,763,560,2990,0.684507
1332,1342,2574,0.314607,989,821,3308,0.602325,871,725,2551,0.557387,716,551,3418,0.722348,767,564,2981,0.681805
1325,1318,2603,0.327723,922,755,3139,0.612224,856,708,2590,0.570649,723,552,3405,0.721001,768,562,2981,0.682755
1310,1307,2639,0.337557,922,755,3139,0.612224,843,684,2633,0.587579,720,547,3381,0.721487,768,556,2985,0.685964
1295,1296,2675,0.347268,922,755,3139,0.612224,830,661,2675,0.603717,710,541,3393,0.724962,768,550,2989,0.689178
1279,1285,2710,0.356696,922,755,3139,0.612224,818,641,2707,0.617085,706,534,3432,0.730711,766,542,2998,0.693785
